[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1CC72530; name='AZAC-SDK-PROGRAMMING-LANGUAGE'; value='Python'
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxPropertyBagImpl::SetStringValue: this=0x0000024A1F96BB88; name='HttpHeader#User-agent'; value='SpeechSDK-Python/1.31.0 Windows Client 10'
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:346 CSpxUspRecoEngineAdapter::UspInitialize: this=0x0000024A1CC724C0
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxUspCallbackWrapper' as '710381509'
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1CC72530; name='SessionId'; value='3b739e8d8fde4f19aefd8946a0a7bd9a'
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1836 CSpxAudioStreamSession::GetScenarioCount: countSpeech=1; countIntent=0; countTranslation=0; countDialog=0, countConversationTranscriber=0, countConversationTranscriberV2=0, countMeetingTranscriber=0, countLanguageId=0
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:766 CSpxUspRecoEngineAdapter::SetUspEndpointDefaultSpeechService: Endpoint type: Speech.
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1CC72530; name='SPEECH-Region'; value='westeurope'
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1CC72530; name='SPEECH-RecoLanguage'; value='en-US'
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1CC72530; name='SPEECH-RecoLanguage'; value='en-US'
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1CC72530; name='SPEECH-InitialSilenceTimeoutMs'; value='3000'
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1CC72530; name='SPEECH-InitialSilenceTimeoutMs'; value='3000'
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1CC72530; name='SPEECH-EndSilenceTimeoutMs'; value='3000'
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1CC72530; name='SPEECH-EndSilenceTimeoutMs'; value='3000'
[871326]: 5213ms SPX_TRACE_INFO:  usp_reco_engine_adapter.cpp:1076 SpeechServiceConnection_LanguageIdMode not set or has invalid value .
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:629 CSpxUspRecoEngineAdapter::SetUspLanguageIdModeAndPriority: languageIdMode=0, languageIdPriority=0
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1CC72530; name='SPEECH-RecoMode'; value='CONVERSATION'
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:603 CSpxUspRecoEngineAdapter::SetUspRecoMode: recoMode=1
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:590 CSpxUspRecoEngineAdapter::SetUspEndpoint: Setting Websocket Polling interval to 10
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1CC72530; name='SPEECH-SubscriptionKey'; value='**********************************************************************************8D'
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::FindPrefix: this=0x0000024A1CC72530; name='User-agent'; value='SpeechSDK-Python/1.31.0 Windows Client 10'
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1CC72530; name='SPEECH-ProxyHostBypass'; value=''
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1CC72530; name='AZAC-SDK-PROGRAMMING-LANGUAGE'; value='Python'
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1CC72530; name='AudioConfig_AudioSource'; value='Microphones'
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1CC72530; name='SPEECH-MicrophoneNiceName'; value='Microphone (Realtek(R) Audio)'
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1CC72530; name='AudioConfig_SampleRateForCapture'; value='16000'
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1CC72530; name='AudioConfig_BitsPerSampleForCapture'; value='16'
[871326]: 5213ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1CC72530; name='AudioConfig_NumberOfChannelsForCapture'; value='1'
